algorithm,engine,N,repeat,TPS(tx/s),P99(ms),success_rate
PBFT,pbft,8,1,2443.977916,302.227000,1.000000
PBFT,pbft,8,2,2647.074784,355.094000,1.000000
PBFT,pbft,8,3,2711.194604,364.971000,1.000000
PBFT,pbft,8,4,2650.642648,373.133000,1.000000
PBFT,pbft,8,5,2600.247336,380.996000,1.000000
PBFT,pbft,8,6,2636.678144,375.928000,1.000000
PBFT,pbft,8,7,2652.928037,374.550000,1.000000
PBFT,pbft,8,8,2673.784638,351.385000,1.000000
PBFT,pbft,8,9,2674.464693,370.836000,1.000000
PBFT,pbft,8,10,2685.740437,366.100000,1.000000
PBFT,pbft,16,1,1382.622154,664.987000,1.000000
PBFT,pbft,16,2,1347.279835,739.578000,1.000000
PBFT,pbft,16,3,1342.621950,740.634000,1.000000
PBFT,pbft,16,4,1389.482507,660.167000,1.000000
PBFT,pbft,16,5,1452.984263,686.448000,1.000000
PBFT,pbft,16,6,1415.745983,702.164000,1.000000
PBFT,pbft,16,7,1381.188952,667.128000,1.000000
PBFT,pbft,16,8,1445.687125,687.092000,1.000000
PBFT,pbft,16,9,1432.387514,639.609000,1.000000
PBFT,pbft,16,10,1433.085854,554.247000,1.000000
PBFT,pbft,24,1,780.663161,836.262000,1.000000
PBFT,pbft,24,2,684.004306,782.756000,1.000000
PBFT,pbft,24,3,854.699686,788.175000,1.000000
PBFT,pbft,24,4,767.823762,566.862000,1.000000
PBFT,pbft,24,5,782.010994,829.184000,1.000000
PBFT,pbft,24,6,829.899968,1149.301000,1.000000
PBFT,pbft,24,7,856.738795,781.184000,1.000000
PBFT,pbft,24,8,864.267259,970.259000,1.000000
PBFT,pbft,24,9,851.291904,866.726000,1.000000
PBFT,pbft,24,10,879.239219,1132.280000,1.000000
PBFT,pbft,32,1,467.021597,1001.837000,1.000000
PBFT,pbft,32,2,451.791355,1492.627000,1.000000
PBFT,pbft,32,3,493.065259,922.625000,1.000000
PBFT,pbft,32,4,445.603131,932.163000,1.000000
PBFT,pbft,32,5,414.517497,893.320000,1.000000
PBFT,pbft,32,6,444.431309,1257.251000,1.000000
PBFT,pbft,32,7,436.865546,922.973000,1.000000
PBFT,pbft,32,8,397.927941,1052.944000,1.000000
PBFT,pbft,32,9,414.384067,1208.214000,1.000000
PBFT,pbft,32,10,448.291081,894.007000,1.000000
PBFT,pbft,40,1,305.173369,1272.576000,1.000000
PBFT,pbft,40,2,234.001357,1576.597000,1.000000
PBFT,pbft,40,3,223.721474,1681.871000,1.000000
PBFT,pbft,40,4,255.699020,1348.030000,1.000000
PBFT,pbft,40,5,284.633613,1387.241000,1.000000
PBFT,pbft,40,6,221.033235,1625.879000,1.000000
PBFT,pbft,40,7,279.808480,1536.036000,1.000000
PBFT,pbft,40,8,206.426128,1295.394000,1.000000
PBFT,pbft,40,9,225.569707,1533.823000,1.000000
PBFT,pbft,40,10,237.342281,1292.436000,1.000000
PBFT,pbft,48,1,162.127628,1699.929000,1.000000
PBFT,pbft,48,2,117.529118,1210.798000,1.000000
PBFT,pbft,48,3,168.947463,1761.323000,1.000000
PBFT,pbft,48,4,125.654730,1665.113000,1.000000
PBFT,pbft,48,5,148.671485,1736.814000,1.000000
PBFT,pbft,48,6,160.530539,1789.626000,1.000000
PBFT,pbft,48,7,148.365214,1742.992000,1.000000
PBFT,pbft,48,8,186.448592,1751.879000,1.000000
PBFT,pbft,48,9,162.421702,1699.032000,1.000000
PBFT,pbft,48,10,150.436141,1688.272000,1.000000
PBFT,pbft,56,1,80.213604,1637.098000,1.000000
PBFT,pbft,56,2,94.259330,2203.872000,1.000000
PBFT,pbft,56,3,93.977867,1680.944000,1.000000
PBFT,pbft,56,4,121.960508,2160.615000,1.000000
PBFT,pbft,56,5,105.760258,2119.671000,1.000000
PBFT,pbft,56,6,88.039946,2182.509000,1.000000
PBFT,pbft,56,7,73.872174,2148.985000,1.000000
PBFT,pbft,56,8,99.522971,2192.324000,1.000000
PBFT,pbft,56,9,105.979401,2172.230000,1.000000
PBFT,pbft,56,10,129.462255,2311.238000,1.000000
PBFT,pbft,64,1,69.198736,2540.224000,1.000000
PBFT,pbft,64,2,72.679764,2580.767000,1.000000
PBFT,pbft,64,3,77.368936,2925.780000,1.000000
PBFT,pbft,64,4,54.160397,2960.765000,1.000000
PBFT,pbft,64,5,82.689836,2804.755000,1.000000
PBFT,pbft,64,6,94.968511,2799.818000,1.000000
PBFT,pbft,64,7,65.144333,2835.797000,1.000000
PBFT,pbft,64,8,82.775271,2882.519000,1.000000
PBFT,pbft,64,9,54.330622,2788.365000,1.000000
PBFT,pbft,64,10,73.201859,2821.431000,1.000000
PBFT,pbft,72,1,58.347195,3192.319000,1.000000
PBFT,pbft,72,2,55.521980,3374.858000,1.000000
PBFT,pbft,72,3,58.575376,3300.371000,1.000000
PBFT,pbft,72,4,61.650057,3444.976000,1.000000
PBFT,pbft,72,5,55.040553,3400.063000,1.000000
PBFT,pbft,72,6,45.291789,2662.656000,1.000000
PBFT,pbft,72,7,52.192743,3490.381000,1.000000
PBFT,pbft,72,8,49.985369,3509.236000,1.000000
PBFT,pbft,72,9,54.773680,2684.130000,1.000000
PBFT,pbft,72,10,52.384376,2677.150000,1.000000
PBFT,pbft,80,1,47.882702,4145.821000,1.000000
PBFT,pbft,80,2,31.373339,3345.305000,1.000000
PBFT,pbft,80,3,44.774062,3365.519000,1.000000
PBFT,pbft,80,4,42.633740,3266.037000,1.000000
PBFT,pbft,80,5,35.391582,3262.616000,1.000000
PBFT,pbft,80,6,45.259959,4186.540000,1.000000
PBFT,pbft,80,7,42.713403,4053.854000,1.000000
PBFT,pbft,80,8,47.723525,3340.248000,1.000000
PBFT,pbft,80,9,42.230403,3195.660000,1.000000
PBFT,pbft,80,10,47.634941,3871.661000,1.000000
PBFT,pbft,88,1,32.034502,3940.764000,1.000000
PBFT,pbft,88,2,44.412398,5341.816000,1.000000
PBFT,pbft,88,3,26.945287,4031.455000,1.000000
PBFT,pbft,88,4,25.950683,3928.267000,1.000000
PBFT,pbft,88,5,33.845365,4805.328000,1.000000
PBFT,pbft,88,6,27.302255,4907.532000,1.000000
PBFT,pbft,88,7,35.960120,3774.112000,1.000000
PBFT,pbft,88,8,32.515053,3777.705000,1.000000
PBFT,pbft,88,9,40.045160,4859.089000,1.000000
PBFT,pbft,88,10,37.521703,5106.614000,1.000000
PBFT,pbft,96,1,21.056342,5276.466000,1.000000
PBFT,pbft,96,2,23.676764,4702.528000,1.000000
PBFT,pbft,96,3,27.073332,5827.378000,1.000000
PBFT,pbft,96,4,17.844996,4561.607000,1.000000
PBFT,pbft,96,5,24.958802,4552.914000,1.000000
PBFT,pbft,96,6,19.024806,4554.744000,1.000000
PBFT,pbft,96,7,22.864834,4686.794000,1.000000
PBFT,pbft,96,8,25.758877,4640.182000,1.000000
PBFT,pbft,96,9,23.790297,4686.945000,1.000000
PBFT,pbft,96,10,20.339895,4563.193000,1.000000
HotStuff,hotstuff,8,1,2405.285278,149.340000,1.000000
HotStuff,hotstuff,8,2,3134.781498,175.720000,1.000000
HotStuff,hotstuff,8,3,2896.560074,127.066000,1.000000
HotStuff,hotstuff,8,4,3045.610453,128.378000,1.000000
HotStuff,hotstuff,8,5,2990.477125,158.570000,1.000000
HotStuff,hotstuff,8,6,2694.101964,141.731000,1.000000
HotStuff,hotstuff,8,7,3257.833052,140.185000,1.000000
HotStuff,hotstuff,8,8,3328.155832,186.064000,1.000000
HotStuff,hotstuff,8,9,3039.533079,132.507000,1.000000
HotStuff,hotstuff,8,10,3056.628007,172.843000,1.000000
HotStuff,hotstuff,16,1,2147.283922,195.928000,1.000000
HotStuff,hotstuff,16,2,2079.399802,193.658000,1.000000
HotStuff,hotstuff,16,3,2284.752862,322.364000,1.000000
HotStuff,hotstuff,16,4,1899.374916,211.358000,1.000000
HotStuff,hotstuff,16,5,1833.169142,209.964000,1.000000
HotStuff,hotstuff,16,6,2166.333232,301.924000,1.000000
HotStuff,hotstuff,16,7,2129.857860,185.439000,1.000000
HotStuff,hotstuff,16,8,2249.260837,316.023000,1.000000
HotStuff,hotstuff,16,9,2221.043588,190.322000,1.000000
HotStuff,hotstuff,16,10,1958.401592,191.599000,1.000000
HotStuff,hotstuff,24,1,1170.662724,254.015000,1.000000
HotStuff,hotstuff,24,2,1328.157239,245.867000,1.000000
HotStuff,hotstuff,24,3,1155.028637,246.743000,1.000000
HotStuff,hotstuff,24,4,1324.550328,248.995000,1.000000
HotStuff,hotstuff,24,5,1405.282287,333.716000,1.000000
HotStuff,hotstuff,24,6,1412.304306,264.422000,1.000000
HotStuff,hotstuff,24,7,1198.983118,256.495000,1.000000
HotStuff,hotstuff,24,8,1164.602603,244.363000,1.000000
HotStuff,hotstuff,24,9,1157.176374,249.418000,1.000000
HotStuff,hotstuff,24,10,1404.092875,248.326000,1.000000
HotStuff,hotstuff,32,1,1068.452207,317.494000,1.000000
HotStuff,hotstuff,32,2,1031.720026,302.787000,1.000000
HotStuff,hotstuff,32,3,1037.429739,423.499000,1.000000
HotStuff,hotstuff,32,4,983.593368,317.759000,1.000000
HotStuff,hotstuff,32,5,954.661593,297.464000,1.000000
HotStuff,hotstuff,32,6,1056.539105,307.307000,1.000000
HotStuff,hotstuff,32,7,1029.262022,328.077000,1.000000
HotStuff,hotstuff,32,8,1115.328043,325.519000,1.000000
HotStuff,hotstuff,32,9,1015.908931,308.862000,1.000000
HotStuff,hotstuff,32,10,977.141342,313.531000,1.000000
HotStuff,hotstuff,40,1,846.286095,401.905000,1.000000
HotStuff,hotstuff,40,2,785.560148,267.326000,1.000000
HotStuff,hotstuff,40,3,799.319491,383.196000,1.000000
HotStuff,hotstuff,40,4,720.091711,348.962000,1.000000
HotStuff,hotstuff,40,5,813.567044,402.658000,1.000000
HotStuff,hotstuff,40,6,755.424400,387.978000,1.000000
HotStuff,hotstuff,40,7,737.399774,338.579000,1.000000
HotStuff,hotstuff,40,8,806.475807,391.684000,1.000000
HotStuff,hotstuff,40,9,771.164434,341.652000,1.000000
HotStuff,hotstuff,40,10,860.197443,371.686000,1.000000
HotStuff,hotstuff,48,1,656.344727,430.288000,1.000000
HotStuff,hotstuff,48,2,671.593882,428.488000,1.000000
HotStuff,hotstuff,48,3,812.043119,436.464000,1.000000
HotStuff,hotstuff,48,4,711.175035,556.758000,1.000000
HotStuff,hotstuff,48,5,651.204934,465.436000,1.000000
HotStuff,hotstuff,48,6,603.269989,472.410000,1.000000
HotStuff,hotstuff,48,7,694.295123,475.028000,1.000000
HotStuff,hotstuff,48,8,615.134375,451.684000,0.999000
HotStuff,hotstuff,48,9,708.044153,462.513000,1.000000
HotStuff,hotstuff,48,10,668.014273,663.315000,0.977000
HotStuff,hotstuff,56,1,644.037963,1060.688000,1.000000
HotStuff,hotstuff,56,2,560.244742,717.204000,1.000000
HotStuff,hotstuff,56,3,637.248337,498.233000,0.865000
HotStuff,hotstuff,56,4,627.863134,717.541000,1.000000
HotStuff,hotstuff,56,5,557.704936,523.644000,0.942000
HotStuff,hotstuff,56,6,589.431389,522.916000,1.000000
HotStuff,hotstuff,56,7,565.667586,711.948000,1.000000
HotStuff,hotstuff,56,8,586.647965,485.341000,0.964000
HotStuff,hotstuff,56,9,578.294850,493.231000,0.862000
